Module	Section	Sample Name	Source
FastQC	all_sections	Plate3_B11_3G13B_10471048_DMT79_R2	/local/workdir/jmc753/git_repos/AppleRhizRepository/01_DADA_2/analysis/fastqc_2023/Plate3_B11_3G13B_10471048_DMT79_R2_fastqc.zip
FastQC	all_sections	Plate2_F11_P2B_10471048_DMT79_R1	/local/workdir/jmc753/git_repos/AppleRhizRepository/01_DADA_2/analysis/fastqc_2023/Plate2_F11_P2B_10471048_DMT79_R1_fastqc.zip
FastQC	all_sections	Plate3_G03_3G40B_10471048_DMT79_R1	/local/workdir/jmc753/git_repos/AppleRhizRepository/01_DADA_2/analysis/fastqc_2023/Plate3_G03_3G40B_10471048_DMT79_R1_fastqc.zip
FastQC	all_sections	Plate3_B04_3G6B_10471048_DMT79_R1	/local/workdir/jmc753/git_repos/AppleRhizRepository/01_DADA_2/analysis/fastqc_2023/Plate3_B04_3G6B_10471048_DMT79_R1_fastqc.zip
FastQC	all_sections	Plate3_F02_3L2B_10471048_DMT79_R1	/local/workdir/jmc753/git_repos/AppleRhizRepository/01_DADA_2/analysis/fastqc_2023/Plate3_F02_3L2B_10471048_DMT79_R1_fastqc.zip
FastQC	all_sections	Plate3_C12_3G26B_10471048_DMT79_R2	/local/workdir/jmc753/git_repos/AppleRhizRepository/01_DADA_2/analysis/fastqc_2023/Plate3_C12_3G26B_10471048_DMT79_R2_fastqc.zip
FastQC	all_sections	Plate2_F12_P4B_10471048_DMT79_R2	/local/workdir/jmc753/git_repos/AppleRhizRepository/01_DADA_2/analysis/fastqc_2023/Plate2_F12_P4B_10471048_DMT79_R2_fastqc.zip
FastQC	all_sections	Plate3_F11_3G36B_10471048_DMT79_R1	/local/workdir/jmc753/git_repos/AppleRhizRepository/01_DADA_2/analysis/fastqc_2023/Plate3_F11_3G36B_10471048_DMT79_R1_fastqc.zip
FastQC	all_sections	Plate2_F10_P1B_10471048_DMT79_R2	/local/workdir/jmc753/git_repos/AppleRhizRepository/01_DADA_2/analysis/fastqc_2023/Plate2_F10_P1B_10471048_DMT79_R2_fastqc.zip
FastQC	all_sections	Plate2_F09_N5B_10471048_DMT79_R1	/local/workdir/jmc753/git_repos/AppleRhizRepository/01_DADA_2/analysis/fastqc_2023/Plate2_F09_N5B_10471048_DMT79_R1_fastqc.zip
FastQC	all_sections	Plate3_E10_3P3B_10471048_DMT79_R2	/local/workdir/jmc753/git_repos/AppleRhizRepository/01_DADA_2/analysis/fastqc_2023/Plate3_E10_3P3B_10471048_DMT79_R2_fastqc.zip
FastQC	all_sections	Plate3_F09_3V4B_10471048_DMT79_R1	/local/workdir/jmc753/git_repos/AppleRhizRepository/01_DADA_2/analysis/fastqc_2023/Plate3_F09_3V4B_10471048_DMT79_R1_fastqc.zip
FastQC	all_sections	Plate3_B12_3G14B_10471048_DMT79_R2	/local/workdir/jmc753/git_repos/AppleRhizRepository/01_DADA_2/analysis/fastqc_2023/Plate3_B12_3G14B_10471048_DMT79_R2_fastqc.zip
